ProductID,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Category
1,8.5,2.1,0.3,1.5,0.8,0.2,9.0,3.5,Electronics
2,7.8,1.9,0.4,1.3,0.9,0.3,8.5,3.2,Electronics
3,9.0,2.3,0.2,1.6,0.7,0.1,9.5,3.8,Electronics
4,1.2,8.5,7.0,0.5,6.5,7.2,0.8,0.3,Clothing
5,1.5,7.9,6.8,0.4,6.2,7.0,1.0,0.5,Clothing
6,1.0,8.8,7.3,0.6,6.8,7.5,0.6,0.2,Clothing
7,4.0,4.5,3.5,8.0,3.0,3.2,4.5,8.5,Food
8,3.8,4.2,3.8,7.8,3.2,3.0,4.2,8.2,Food
9,4.2,4.8,3.2,8.2,2.8,3.5,4.8,8.8,Food
10,8.2,2.0,0.5,1.4,0.7,0.4,8.8,3.3,Electronics
11,1.3,8.2,6.9,0.5,6.4,7.1,0.9,0.4,Clothing
12,3.9,4.3,3.6,7.9,3.1,3.1,4.3,8.3,Food
13,8.8,2.2,0.3,1.5,0.8,0.2,9.2,3.6,Electronics
14,1.4,8.6,7.1,0.4,6.6,7.3,0.7,0.3,Clothing
15,4.1,4.6,3.4,8.1,2.9,3.3,4.6,8.6,Food
16,7.5,1.8,0.5,1.2,1.0,0.3,8.2,3.0,Electronics
17,1.1,8.0,6.7,0.6,6.3,6.9,1.1,0.5,Clothing
18,3.7,4.1,3.9,7.7,3.3,2.9,4.1,8.1,Food
19,9.2,2.4,0.2,1.7,0.6,0.1,9.6,3.9,Electronics
20,1.6,9.0,7.5,0.3,7.0,7.6,0.5,0.1,Clothing
21,4.3,4.9,3.1,8.3,2.7,3.6,4.9,8.9,Food
22,8.0,2.0,0.4,1.3,0.9,0.3,8.6,3.1,Electronics
23,1.2,8.3,7.0,0.5,6.5,7.2,0.8,0.4,Clothing
24,4.0,4.4,3.5,8.0,3.0,3.2,4.4,8.4,Food
25,7.2,1.7,0.6,1.1,1.1,0.4,8.0,2.9,Electronics
26,1.5,8.7,7.2,0.4,6.7,7.4,0.6,0.2,Clothing
27,3.6,4.0,4.0,7.6,3.4,2.8,4.0,8.0,Food
28,9.5,2.5,0.1,1.8,0.5,0.1,9.8,4.0,Electronics
29,1.7,9.2,7.6,0.3,7.1,7.7,0.4,0.1,Clothing
30,4.4,5.0,3.0,8.4,2.6,3.7,5.0,9.0,Food
