TransactionID,Items
1,"Bread,Butter,Milk"
2,"Bread,Butter"
3,"Milk,Eggs,Cheese"
4,"Bread,Butter,Milk,Eggs"
5,"Coffee,Sugar,Cream"
6,"Coffee,Sugar"
7,"Bread,Milk,Eggs"
8,"Coffee,Sugar,Cream,Cookies"
9,"Bread,Butter,Cheese"
10,"Coffee,Cream"
11,"Bread,Butter,Milk,Cheese"
12,"Coffee,Sugar,Cookies"
13,"Eggs,Cheese,Milk"
14,"Bread,Butter,Eggs"
15,"Coffee,Sugar,Cream"
16,"Bread,Milk"
17,"Coffee,Cookies"
18,"Bread,Butter,Milk,Eggs,Cheese"
19,"Coffee,Sugar,Cream,Cookies"
20,"Bread,Butter"
21,"Milk,Eggs"
22,"Coffee,Sugar,Cream"
23,"Bread,Butter,Cheese"
24,"Coffee,Cookies,Sugar"
25,"Bread,Milk,Butter"
26,"Eggs,Cheese"
27,"Coffee,Sugar,Cream,Cookies"
28,"Bread,Butter,Milk"
29,"Coffee,Sugar"
30,"Bread,Butter,Milk,Eggs"
