TransactionID,Items
1,"Laptop,Mouse,Keyboard"
2,"Laptop,Mouse"
3,"Phone,Case,Charger"
4,"Laptop,Mouse,Keyboard,Monitor"
5,"Phone,Case"
6,"Tablet,Stylus,Case"
7,"Laptop,Keyboard"
8,"Phone,Case,Charger,Earphones"
9,"Tablet,Stylus"
10,"Laptop,Mouse,Monitor"
11,"Phone,Charger"
12,"Tablet,Stylus,Case,Keyboard"
13,"Laptop,Mouse,Keyboard"
14,"Phone,Case,Charger"
15,"Tablet,Case"
16,"Laptop,Mouse,Keyboard,Monitor"
17,"Phone,Earphones"
18,"Tablet,Stylus,Case"
19,"Laptop,Mouse"
20,"Phone,Case,Charger,Earphones"
21,"Laptop,Keyboard,Monitor"
22,"Phone,Case"
23,"Tablet,Stylus,Case"
24,"Laptop,Mouse,Keyboard"
25,"Phone,Charger,Earphones"
26,"Tablet,Stylus"
27,"Laptop,Mouse,Keyboard,Monitor"
28,"Phone,Case,Charger"
29,"Tablet,Stylus,Case"
30,"Laptop,Mouse,Keyboard"
